,gs_equipment_location,gs_facility_id,gs_rated_kva,x,y
376,E72805200031065,20647,10.0,1429174.288981039,916383.8381258547
1650,E72805103097821,P03297,15.0,1423294.8513785675,875895.2606340572
1651,E72805203079731,P03279,50.0,1429859.1873776652,877905.8417154253
1679,E72805103079839,P03290,15.0,1426485.4773309678,877466.4378807396
1680,E72805203079732,P03280,15.0,1429987.5129393674,879543.6570736542
1681,E72805203079734,P03286,25.0,1430062.9477636516,880544.3433988243
1682,E72805203079811,P03288,99.0,1430514.060464833,890696.7741708755
1683,E72805203079814,P03289,15.0,1430719.056005694,891492.8164220229
1684,E72805200040180,P03284,15.0,1430957.2300155908,893007.7388915941
1685,E72805203079828,P01673,15.0,1431149.5426247306,893370.4024537578
1686,E72805203102364,P03282,15.0,1431313.6675938591,893746.4016717598
1687,E72805203102327,P03281,15.0,1431480.3532499112,894120.8745195195
1688,E72805203079831,P03285,15.0,1431752.3283272423,892533.4394213334
1689,E72805203079832,P03287,15.0,1431974.3649885468,892509.5798443258
1690,E72805103095257,P03294,0.0,1419816.7958500907,871128.8381566033
1691,E72805103096312,17434,15.0,1421443.6454431266,869968.7365178689
1692,E72805103079942,P03296,15.0,1421111.157819055,870100.5265383571
1693,E72805100040318,P01695,15.0,1419521.7745904215,869806.4492181838
1694,E72805100040549,P01694,15.0,1420486.330125153,870906.6809923798
1695,E72805103080097,P03293,10.0,1426879.220603086,862296.4766418785
1696,E72805103080096,P03291,15.0,1426719.3935712315,862496.2202640623
1697,E72805103080095,P03298,25.0,1426923.887016613,863169.9922249392
1698,E72805100039638,P01692,15.0,1425686.0308724977,861500.3138878196
1699,E72805203079495,P03660,25.0,1440520.401537247,878447.3215603456
1700,E72805200043693,P01685,15.0,1440980.8833400086,879277.546471484
1701,E72805203079498,P03662,15.0,1441060.4253052808,879758.8250688538
1702,E72805200040510,P03663,15.0,1441124.0408020653,880203.4808222204
1703,EP03661,P03661,15.0,1440864.3469800763,878783.6954033971
1704,E72805200038561,P01640,15.0,1431598.9745613076,863669.2345431969
1705,E72805203095538,P02979,15.0,1436509.9239662364,865209.9860592782
1706,E72805203101265,P03664,25.0,1434471.8180108853,857111.8789264485
1707,E72805003095935,P03666,15.0,1445912.9973244779,878066.8737764284
1708,E72805003103024,P03670,15.0,1449822.182154201,877985.9259438142
1709,E72805003103025,P03671,15.0,1449725.4183141068,877467.5324488804
1710,E101C 71A1 V3,P03672,15.0,1449617.6686250009,876887.7929287031
1711,E72805003105111,P01635,15.0,1449551.4723574705,876308.7764260173
1712,E72805000040977,P01766,15.0,1441082.537590038,861125.6301599592
1713,E72805003099482,P03668,15.0,1445590.330687914,868093.2492452189
1714,E72805003105013,P03669,15.0,1445185.9128659777,868388.5014688075
1715,E72805003095185,P03667,25.0,1445768.8959229253,869393.4556055218
1716,E72805000039829,P01605,15.0,1439206.9900659285,856357.6712703481
1717,E72805003100174,P03673,15.0,1440051.1531474777,858446.3984915689
1718,E72805003081380,P03674,15.0,1441665.2997249737,855228.8200540245
1719,E72805003081381,P03676,15.0,1441577.8246511817,855091.6274862215
1720,E72805003081383,P03675,15.0,1441464.3410317414,854915.1810941175
1721,E72805203100650,P03366,15.0,1441928.35193808,896487.0923368707
1722,E72805203079427,P03364,10.0,1438846.8570649624,893653.403547734
1723,E72805203079428,P03365,15.0,1438705.3966856115,893369.0970055237
1724,E72805203101518,P03369,15.0,1433513.2574961334,900721.3413090557
1725,E72805203080318,P03368,10.0,1431757.112041887,901745.348086223
1726,E72805203080317,P03367,99.0,1433976.4204887375,899167.7072783038
1727,E72805200039877,P03370,0.0,1433553.9874811321,903081.4913025796
1728,E72805203080314,P20783,0.0,1432968.7952040918,903510.7427667528
1729,E72805203095712,P03371,25.0,1431160.6791023836,903642.2415718585
1730,E102D 12 V2,P03372,99.0,1431144.3509575091,903815.5950558335
1731,E72805200040141,P01686,25.0,1431140.886498727,904282.9455247074
1732,E72805203080302,P03374,225.0,1433836.837946467,904694.3023061156
1733,E72805203104873,P03375,15.0,1434497.2742515095,915186.912804924
1734,E72805203078806,P16142,15.0,1422707.3695461564,906029.3842181638
1735,E72805203078805,P01684,0.0,1422767.088782046,906319.2338944301
1736,E103B 16 V1,P01788,100.0,1447561.5073163398,899616.2454849333
1737,E72805203105075,P15181,15.0,1447250.117744159,900338.865059413
1738,E72805203079078,P04216,25.0,1446898.9220426604,900625.3707798123
1739,E72805203079089,P04247,25.0,1445517.6875144728,898319.9793188795
1740,E72805203102331,21064,10.0,1450521.199475605,900859.327187717
1741,E72805203079109,P04206,25.0,1450039.9007944167,899939.1769768596
1742,E72804503100771,P04217,15.0,1453174.4928917177,892007.8458772749
1743,E72804503093132,P04175,15.0,1461149.3054595105,902233.863762252
1744,E72809600039608,P01632,50.0,1459521.4014659747,899875.4208933413
1745,E72809600040328,P01752,15.0,1457482.954085704,887960.7153365314
1746,E103H 63 1 V1A,15188,50.0,1455625.7976912558,885887.4965893179
1747,E72804503093098,P02077,50.0,1455834.7955606729,886275.1205728278
1748,E103H 63 1 V1B,15189,50.0,1455466.5085291788,885563.741660811
1749,E103H 63 1 V1C,15182,50.0,1455312.5359305702,885897.7456132174
1750,E103H 63 1 V2A,15190,50.0,1455522.4520070925,886331.6063138545
1751,E103H 63 1 V1D,15191,50.0,1455079.5736717097,886254.1329819411
2074,E72805000042954,P01820,15.0,1439777.1094367877,857120.886519283
2198,E72805003081075,18791,10.0,1447162.0602396168,869131.9642817229
2316,E72805100043887,P02142,15.0,1421687.5533833578,869901.4155564755
2317,E72805100040509,P02064,15.0,1423660.9593156986,862087.8258459568
2318,E72805103080063,P01817,50.0,1424868.3985158913,856850.92986577
2319,E72805103080065,P02143,15.0,1424158.094088193,856801.0316173807
2320,E72805100045354,P02390,15.0,1422725.264228914,856924.8182359859
2321,E72805200043111,P02386,15.0,1447756.0994389392,909270.4305982441
2322,E72805200039510,P02199,15.0,1433517.3445533067,912583.5075952858
2323,E100A 3 V1A,P02061,15.0,1430176.0598324388,878857.6841927096
2324,E100A 3 V2,P02147,15.0,1430214.930181317,879159.5283022746
2325,E100A 3 V3,P05508,25.0,1430504.6116556004,878960.4857309014
2328,E72805203079097,17488,15.0,1451184.3671800345,902141.8397034481
2333,E72805203102326,18155,15.0,1430077.9428450353,881106.2258934006
2335,E72805200044068,18773,10.0,1429681.1443219446,879274.3431023508
2337,E72805003081117,21037,10.0,1450649.3687600903,870561.0585506633
2347,E72805003081119,18785,10.0,1450629.2786648646,870704.3390261158
2349,E72805000042059,16734,10.0,1441779.5164038092,874226.2751886994
2358,E100A 3 V4,P02129,15.0,1430457.7353943586,878447.2110993415
2359,E100A 3 V5,P02141,15.0,1430429.6381315328,878042.3614752963
2360,E72805200043768,P02145,15.0,1430481.3740493618,877796.2543568835
2361,E72805200043672,16716,25.0,1430954.6392029375,904569.3508260101
2362,E72805203079674,18213,10.0,1437194.5110636652,871206.1709017828
2393,E72805003081009,18218,10.0,1444047.8331348114,861559.4908605963
2394,E72805203079001,16273,25.0,1436204.5394559465,899657.0294451937
2395,E72805003081335,16441,15.0,1436699.3947149813,856091.3899557143
2396,E72805203079232,26246,10.0,1455926.4581107348,915474.6335963756
2397,E72805003081068,18224,25.0,1446787.9991101474,867463.7821891233
2398,E72805203080309,18228,15.0,1433760.890984796,903521.6784062088
2399,E72805003081054,18395,10.0,1445717.8930644915,864636.4022296369
2400,E72805203079562,17701,15.0,1438401.5887551159,869511.7693834379
2401,E72805003081058,17410,10.0,1445701.8762188144,865132.3319729939
2402,E72805200040493,15573,10.0,1438116.8303269744,868262.5859653875
2403,E72805203079263,30783,10.0,1448428.385197211,909336.8076201454
2404,E72804503093283,17039,25.0,1452267.2867022306,891042.6175346002
2405,E72804503093083,17022,10.0,1452896.581790626,892818.5480610728
2406,E72805200043731,17670,10.0,1431045.7494479753,886492.186488919
2407,E72805203079717,17702,15.0,1432248.5693697892,876391.7828500718
2408,E72809600043462,17699,15.0,1457497.4426782764,887309.6813968867
2409,E72805103079853,16287,10.0,1424930.01567268,877455.6227441952
2410,E72805100043645,16865,10.0,1418017.6873412207,862076.046686098
2411,E72805200043670,16286,15.0,1437246.2570234016,864994.8983993605
2412,E72805003081272,17442,15.0,1441256.2224570252,871158.0601132959
2413,E72805100043773,16213,10.0,1421035.210857384,869112.8946955502
2414,E72805100038651,15122,15.0,1417831.9019732662,854931.890831545
2415,E72804503093358,16151,15.0,1456016.011859797,885832.6539557353
2416,E72805200043584,16291,10.0,1438452.3907753564,874372.816774264
2417,E72805003081401,20778,10.0,1440224.0447036102,852188.5014032573
2418,E72804503093286,17413,10.0,1452119.0781596862,889803.5262356177
2419,E72804503093002,23605,10.0,1456096.6283093914,901158.9275581241
2420,E72804503093302,18211,15.0,1452700.173337642,888305.8356827721
2421,E72805003081165,18765,10.0,1450348.207500372,872970.9574191719
2422,E72805003081169,17412,10.0,1450350.2058403678,872749.5019333735
2423,E72805203079423,26677,10.0,1440715.0739951208,893663.2747447863
2678,E72805200046216,18721,10.0,1437336.071862109,913211.6089516878
2826,E72805203079599,23744,99.0,1436401.2705052719,862966.1615455821
2875,E72805000044187,18238,10.0,1450360.2778756097,872459.0296587199
2876,E72805003081151,24322,10.0,1450359.4443971217,872164.6812069863
2899,E72805200042120,16563,10.0,1423729.4049709588,907421.1326256171
2908,E72805203079573,19686,10.0,1437839.8443367966,867451.9829454422
2909,E72805003081097,18300,10.0,1449878.4469732195,869103.6460968927
2910,E72805003081135,18260,10.0,1450243.912228141,869121.1290613562
2954,E72805203078983,29504,25.0,1434234.0456773676,899651.9181132466
2969,E72805203105217,16082,15.0,1448333.0171825364,916365.2806770727
2970,E72805203079308,26286,10.0,1448335.5979532823,916648.8441179767
2988,E72805200042331,16472,10.0,1431705.5832384452,902814.537180014
2989,E72805200043932,22346,15.0,1431992.5935647972,902805.6061567366
3024,E72805103080156,26553,10.0,1422904.5524814092,867141.1657621041
3091,E72805203078694,19157,15.0,1431573.2007452957,902220.8293637037
3092,E72805100055075,19513,15.0,1417725.5681934021,855044.7618945092
3119,E72805203079733,18639,10.0,1429582.3118484914,879726.1989048347
3120,E72805203096338,25042,10.0,1429572.0389750563,880017.3138617054
3153,E72805200040726,15596,25.0,1438805.4184977226,883591.6261138394
3154,E72805200042299,16739,10.0,1440112.4790888913,898824.8564036116
3155,E72805203078988,26631,10.0,1434846.0096851774,899647.0477871373
