,Parcel ID,Description,Location,Assessed Value,Total Parcel Acres
0,SM042.,LOT,328 SOUTH MAIN,37000,0.47
1,SM039.A-B,LOT & APT HOUSE,365 SOUTH MAIN,504100,0.5
2,SM004.A-B,LOT & BUILDING,44 SOUTH MAIN,172700,0.19
3,CP007.,HOUSE,14 ISLE VIEW DRIVE,29900,
4,CP009.,HOUSE,46 ISLE VIEW DRIVE,29900,
5,CP011.,HOUSE,58 ISLE VIEW DRIVE,29900,
6,CP015.,HOUSE & LAND  7 DETACHED BUILDINGS,39 ISLE VIEW DRIVE,329600,44.0
7,CP017.,HOUSE,49 ISLE VIEW DRIVE,31300,
8,CP019.,HOUSE,61 ISLE VIEW DRIVE,31300,
9,CP021.,HOUSE,71 ISLE VIEW DRIVE,48900,
10,CP046.,HOUSE,424 PALMERS SAND BEACH ROAD,133800,
11,CP047.A-B,APT HOUSE,109 ISLE VIEW DRIVE,50400,
12,CP048.,HOUSE,428 PALMERS SAND BEACH ROAD,67700,
13,SU002.,LOT,2 SUMMIT ROAD,39000,0.47
14,SU006.,LOT & HOUSE,6 SUMMIT ROAD,204500,0.52
15,AT018.,LAND & BUILDINGS,18 ALBURGH  RV RESORT,892800,101.0
16,ATG30.,91 WOODLAND PARKMODEL,30G ALBURGH  RV RESORT,4500,
17,RS566.,LAND & HOUSE,5362 US ROUTE 2 SOUTH,169600,10.9
18,MG045.,LAND & HOUSE,431 MCGREGOR POINT,701800,20.29
19,GR133.,LAND & HOUSE,2704 GREENWOODS ROAD,183100,10.1
20,FH067.,LOT & HOUSE,635 FIRE HOUSE ROAD,269100,0.11
21,VA004.,LOT & HOUSE,42 VANTINE AVENUE,114000,0.42
22,LS019.,LOT & HOUSE,205 LAKE STREET,91400,0.5
23,HR048.,LOT,458 HENRY ROAD,30000,0.5
24,WS177.A-B,LOT & HOUSE,1681 WEST SHORE RD,380500,2.07
25,PF104.,LAND & BUILDINGS,104 POOR FARM ROAD,253900,6.0
26,CS006.,LOT & HOUSE,44 CLELAND SOUTH,187700,0.25
27,SA291.,LOT & HOUSE,2687 ALBURGH SPRINGS ROAD,208600,1.0
28,GR342.,LAND & BUILDING,787 GREENWOODS ROAD,84000,7.5
29,ATA15.,89 WOODLAND,15A ALBURGH  RV RESORT,3700,
30,ATA20.,03 PARK MODEL,20A ALBURGH  RV  RESORT,11900,
31,ATG06.,93 PRKMDL,6G ALBURGH  RV RESORT,4500,
32,ATH05.,WOODLAND,5ATH ALBURGH RV RESORT,15900,
33,RO230.,LAND/BLDGS,230 ROUTE 129,1339300,424.0
34,BU081.,LAND & MHOME,771 BOUTAH ROAD,153600,10.1
35,RS333.,SOLAR ARRAY &  LAND,333 US ROUTE 2 SOUTH,204200,1.37
36,FH002.,FIRE HALL,36 FIRE HOUSE ROAD,170200,
37,FH004.,FIRE STATION,60 FIRE HOUSE ROAD,100000,
38,RT248.A,MHU,2368 ROUTE 78,13500,
39,WS325.,LAND & HOUSE,3103 WEST SHORE RD,195200,10.18
40,WS326.,LOT,326 WEST SHORE RD,72200,0.3
41,ATF22.,WOODLAND PARK SS-15,22F ALBURGH  RV RESORT,25000,
42,WM128.,LOT,128 WINDMILL POINT RD,212500,1.1
43,TR094.,LAND & HOUSE,886 TRUCK ROUTE,174600,13.1
44,WS157.,LOT & HOUSE,1487 WEST SHORE RD,224000,0.41
45,DD015.,LOT & MHOME,46 DESO DRIVE,117200,0.33
46,TW010.,LOT & HOUSE,388 TERRAPIN LANE,384900,1.36
47,WS353.,LOT & MHOME,3385 WEST SHORE RD,151300,0.69
48,ATC01.,WOODLAND PARK MODEL,1C ALBURGH  RV RESORT,10000,
49,CE081.,LOT & BUILDING,81 CEDARVALE EST,146500,0.47
50,DR042.,LOT & HOUSE,399 DEER RUN LANE,129300,10.01
51,WL027.,LOT & HOUSE,249 WINTER'S LANE,123900,0.31
52,MR080.,LAND & MH,758 MARTELL ROAD,105000,10.1
53,WL020.,LOT & HOUSE,182 WINTER'S LANE,152300,0.92
54,SM043.,LOT & HOUSE,413 SOUTH MAIN,246600,0.43
55,SM049.,LOT & HOUSE,473 SOUTH MAIN,139400,1.02
56,RN287.,LAND & HOUSE,2719 US ROUTE 2 NORTH,203400,10.18
57,ATA04.,08 WOODLAND TIMBER RIDGE,4A ALBURGH RV RESORT,18900,
58,CS025.,LOT & MHOME,205 CLELAND SOUTH,99900,0.5
59,ATA01.,2013 WOODLAND,1A ALBURGH RV RESORT,26000,
60,BD069.,LAND & HOUSE,819 BORDER ROAD,227600,11.6
61,FK095.,LOT & HOUSE,965 FISKE ROAD,324600,0.4
62,WS279.,LOT,2657 WEST SHORE RD,107400,1.18
63,FX002.C,LOT,116 FOX HILL ROAD,40300,0.67
64,GP134.,1998 JAYCO,134 GOOSEPOINT CAMPGROUND,3200,
65,GP125.,2021 SPORTSMAN,125 GOOSEPOINT   CAMPGROUND,21900,
66,AD020.,LAND & HOUSE,192 AUBIN DRIVE,312800,18.64
67,BR095.,LOT & HOUSE,913 BLAIR ROAD,165500,2.6
68,CB015.,LOT & HOUSE,157 CENTER BAY RD,168000,1.0
69,WS161.,LOT & HOUSE,1513 WEST SHORE RD,431400,0.9
70,GP082.,2013 AVENGER,82 GOOSEPOINT CAMPGROUND,15500,
71,WM098.,LAND,98 WINDMILL POINT RD,15000,13.0
72,KF003.A,LOT & HOUSE,71 KIRK & FITTS,90200,0.2
73,ATG10.,94 PRKMDL,10G ALBURGH  RV RESORT,4500,
74,PF225.,LOT & HOUSE,225 POOR FARM ROAD,81600,0.94
75,PF218.,LAND & HOUSE,218 POOR FARM ROAD,719300,14.35
76,CU005.,LOT & HOUSE,23 CENTER BAY SOUTH,158400,0.17
77,LS016.,LOT & HOUSE,170 LAKE STREET,215800,1.01
78,LS013.,LOT,121 LAKE STREET,38500,0.35
79,PF150.A,LAND & HOUSE,150A POOR FARM ROAD,429500,46.18
80,SA133.A-B,LOT & HOUSE,1205A-B ALBURGH  SPRINGS ROAD,254200,3.0
81,CD014.,LOT & HOUSE,148 CEDAR LANE,100100,0.16
82,WE052.,LAND & HOUSE,400 WINDMILL POINT EAST,353800,10.55
83,PF148.A,LAND & HOUSE,148A POOR FARM ROAD,220400,12.06
84,RT114.,LAND,2025,72000,46.0
85,CB001.,LOT & HOUSE,23 CENTER BAY RD,177700,1.75
86,WL025.,LOT & HOUSE,243 WINTER'S LANE,123000,0.29
87,CE047.,LOT & HOUSE,47 CEDARVALE EST,203800,1.99
88,MP007.,LOT & HOUSE,51 MUD POINT SOUTH,262500,0.22
89,BU101.,LAND & MHOME,963 BOUTAH ROAD,137700,10.1
90,MT038.,LOT & HOUSE,350 MOTT STREET NORTH,196700,0.11
91,MR194.,LAND & HOUSE,1830 MARTELL ROAD,180400,28.6
92,BY051.,LAND,51 BAY ROAD,183500,4.0
93,CB033.,LOT & HOUSE,33 CENTER BAY RD,124900,0.13
94,WS389.,LOT & HOUSE,3665 WEST SHORE RD,209800,0.58
95,CN009.,LOT & HOUSE,81 CLELAND NORTH,257000,0.62
96,FH115.,LAND & HOUSE,1101 FIRE HOUSE ROAD,175800,10.1
97,GP149.,JAYCO JAY FLIGHT,149 GOOSEPOINT CAMPGROUND,7800,
98,RE030.,LAND & HOUSE,30 RAILROAD EXTENSION,236000,10.08
99,HN011.,LOT & HOUSE,107 HUNTER NORTH,154100,0.23
100,RO230.A,HOUSE,230A ROUTE 129,323200,
101,WS135.,LAND & HOUSE,1261 WEST SHORE RD,270700,10.3
102,WW151.,LOT & HOUSE,1447 WINDMILL POINT,616400,1.09
103,BD080.,LOT & MHOME,748 BORDER ROAD,120400,2.0
104,CH004.,MHOME,50 CHAMPLAIN STREET,7000,
