,tf_name,ratedKVA,x,y
0,tran_87721,10000.0,1439531.8609,884672.49834
1,E72805200039510,15.0,1433517.34455,912583.5076
2,E72805203104873,15.0,1434497.27425,915186.9128
3,E72805203078904,10.0,1435858.40488,907508.16586
4,E72805203101263,10.0,1435630.805,907615.70466
5,E72805203095676,10.0,1435250.72876,907545.15021
6,E72805203101264,10.0,1434470.66319,911774.98325
7,E72805203105106,15.0,1434131.13619,912040.93318
8,E72805200041153,15.0,1433890.36132,905192.73248
9,E72805203078903,15.0,1436175.29742,907486.91717
10,E72805200062292,150.0,1436434.45023,907543.06463
11,E72805203078509,25.0,1433715.25051,904590.95097
12,E72805203078925,45.0,1433859.27157,905071.47643
13,E72805200039737,15.0,1431790.70851,903196.6218
14,E72805203078632,25.0,1432020.77869,903192.56486
15,E72805203095329,25.0,1432378.27632,903184.7623
16,E72805203078626,15.0,1432616.43464,903180.48445
17,E72805203080314,30.0,1432968.7952,903510.74277
18,E72805203078623,25.0,1432857.97269,903179.20912
19,E72805203078592,10.0,1430866.20011,904199.52738
20,E72805203078781,10.0,1430877.8186,903691.08542
21,E72805203080316,75.0,1431063.84497,903208.97334
22,E72805203095712,25.0,1431160.6791,903642.24157
23,E72805200040141,25.0,1431140.8865,904282.94552
24,E72805203104542,10.0,1431144.35096,903815.59506
25,E72805203078638,15.0,1431339.25438,903202.6369
26,E72805200040414,10.0,1430804.12228,905807.39337
27,E72805203078555,10.0,1430618.80762,905937.81205
28,E72805203078562,10.0,1429187.17275,906572.84232
29,E72805203078567,10.0,1428542.04032,906813.25567
30,E72805203078560,10.0,1429582.66332,906437.55771
31,E72805203078559,15.0,1430050.53596,906264.88708
32,E72805203078581,15.0,1431075.594,904849.80127
33,E72805203078552,25.0,1431054.34532,905181.4755
34,E72805203078571,15.0,1431028.59787,905394.43428
35,E72805203078765,10.0,1431415.06075,902359.38763
36,E72805203078772,10.0,1431085.91709,902624.81538
37,E72805203078774,10.0,1430917.35359,902753.61291
38,E72805203078780,10.0,1430887.05715,903219.70815
39,E72805203078790,10.0,1430863.6595,904044.12883
40,E72805200043672,25.0,1430954.6392,904569.35083
41,E72805203078768,10.0,1431244.12298,902489.195
42,E72805200040564,10.0,1431140.21369,902738.22871
43,E72805203101517,15.0,1431290.26994,902624.52417
44,E72805203078694,15.0,1431573.20075,902220.82936
45,E72805200042331,10.0,1431705.58324,902814.53718
46,E72805200061583,15.0,1432368.98693,902924.26199
47,E72805200043932,15.0,1431992.59356,902805.60616
48,E72805203078778,10.0,1430821.30273,902964.83444
49,E72805203078676,15.0,1432847.01697,902520.68078
50,E72805200041656,15.0,1432539.79479,902552.5538
51,E72805203078969,10.0,1432009.95352,898459.13006
52,E72805203078970,10.0,1432108.28389,898834.37613
53,tran_5435,15.0,1432450.21091,899169.88637
54,E72805203078960,10.0,1432377.58782,899326.69079
55,E102 90C,10.0,1432425.3371,899558.63882
56,E72805203078974,15.0,1432449.57827,899698.83956
57,E72805203080317,30.0,1433976.42049,899167.70728
58,E72805203078978,100.0,1433663.26354,899659.0077
59,E72805203078975,10.0,1433027.45,899675.16513
60,E72805203078961,25.0,1432249.40285,899095.36536
61,E72805203078967,10.0,1432041.44494,898645.74891
62,E72805203079834,15.0,1431929.38728,896555.11372
63,E72805203079014,10.0,1438401.66909,898387.18982
64,E72805203079005,10.0,1436990.54984,899611.80068
65,E72805203079434,25.0,1438963.29865,890110.36494
66,E72805203079045,10.0,1439856.67964,898593.04081
67,E72805203079001,25.0,1436204.53946,899657.02945
68,E72805203079009,25.0,1437225.03847,899521.20258
69,E72805203079011,10.0,1437149.02121,898556.48637
70,E72805203079008,10.0,1437403.59366,899040.74742
71,E72805203079015,10.0,1438592.8865,898567.73206
72,tran_87784,75.0,1439812.94525,898283.05396
73,E72805200062691,15.0,1439847.67393,898475.01636
74,E72805203078977,25.0,1433399.28182,899670.91741
75,E72805203078980,10.0,1433946.67635,899657.77255
76,E72805203078983,25.0,1434234.04568,899651.91811
77,E72805203078988,10.0,1434846.00969,899647.04779
78,E72805203078992,15.0,1435023.12889,899645.63188
79,E72805203095585,10.0,1435154.82853,899453.98203
80,E72805200048954,10.0,1435256.68362,899642.71972
81,E72805203078998,10.0,1435585.40552,900172.66142
82,E72805203078940,25.0,1432658.1889,900769.66298
83,E72805203078945,25.0,1432618.7242,900508.80429
84,E102 94,15.0,1432592.9008,900381.80426
85,E72805203078947,25.0,1432577.17077,900295.80535
86,E72805203078953,25.0,1432359.87389,899889.15823
87,E7280520006236000,10.0,1432616.86644,899945.54355
88,E72805203078700,10.0,1432724.95379,901677.38005
89,E72805203078702,25.0,1432774.47735,901473.01966
90,E72805203078706,10.0,1432698.69796,900995.93732
91,E72805203078743,10.0,1433897.42079,901291.57114
92,E72805203095270,10.0,1434172.72978,901213.44508
93,E72805203078746,10.0,1433661.94805,901316.13365
94,E72805203078740,10.0,1433102.33252,901580.23587
95,E72805203080318,30.0,1431757.11204,901745.34809
96,E72805200061166,25.0,1432239.48144,901232.8561
97,E72805200042338,25.0,1432178.13542,901443.3546
98,E72805203101518,15.0,1433513.2575,900721.34131
99,E72805203078758,25.0,1433059.79562,900690.13231
100,E72805203078760,25.0,1432914.26764,900268.04951
101,E72805203078757,10.0,1433090.49311,900888.17759
102,E72805203078752,10.0,1433113.32841,901087.33879
103,E72805203078749,25.0,1433391.95123,901349.14141
104,E102 108,15.0,1432872.68409,902044.07607
105,E72805203078688,10.0,1432847.94584,901907.76028
106,E72805203078730,25.0,1433164.89361,901944.79735
107,E72805203078739,10.0,1433837.21954,901929.61399
108,E72805203080319,10.0,1433733.5067,902933.02167
109,E72805203078657,10.0,1433183.44102,902941.3665
110,E72805203078662,25.0,1433009.62561,902779.33025
111,E72805203078675,10.0,1432944.63437,902426.98977
112,E72805203078683,25.0,1432919.20825,902290.42984
113,E72805203078648,25.0,1433414.41686,902938.25727
114,E72805200039877,37.5,1433553.98748,903081.4913
115,E72805203078604,25.0,1433262.14951,903446.25362
116,E72805203078612,25.0,1433220.43541,903346.68809
117,E72805203078627,25.0,1433099.77183,903068.39665
118,E72805203078517,25.0,1433454.1709,903911.21412
119,E72805203078524,10.0,1433225.0616,904088.16261
120,E72805203078550,150.0,1433256.83734,903879.8934
121,E72805200042768,25.0,1433360.20875,903829.54327
122,E72805203078597,15.0,1433548.1933,903729.90744
123,E72805203078595,25.0,1433361.46085,903683.45482
124,E72805203078607,25.0,1433299.91713,903550.30789
125,E72805200060323,15.0,1434458.31164,902236.54495
126,E72805203080310,75.0,1434197.11153,903222.55001
127,E72805203080311,150.0,1434167.44773,903183.04513
128,E72805203080300,25.0,1434328.68063,903897.09519
129,E72805203080298,15.0,1434375.34539,904184.13314
130,E72805203078545,15.0,1434270.2568,903548.22921
131,E102 124C1,15.0,1433935.59385,903781.69671
132,E72805203078539,15.0,1434118.21225,904279.8727
133,E72805203078541,15.0,1434205.85804,904486.5352
134,E72805203078935,15.0,1434447.43625,904455.77683
135,E72805203078536,10.0,1433994.87752,903939.98419
136,E72805203080309,15.0,1433760.89098,903521.67841
137,E72805200041077,25.0,1433818.61188,904956.03464
138,E72805203080302,675.0,1433836.83795,904694.30231
139,E102 127,15.0,1433567.9859,904200.92321
140,E72805203080291,25.0,1433637.48596,904095.25219
141,E72805203078528,10.0,1433545.28115,903829.16168
142,E72805200040179,10.0,1433886.14372,903634.92102
143,E72805203078795,10.0,1434554.18175,908901.56114
144,E72805203078794,10.0,1434564.14333,908655.45402
145,E72805203078900,10.0,1435010.65683,908060.93281
146,E72805203078906,10.0,1434333.2497,907290.7083
147,E72805203078907,10.0,1434302.33066,906838.16965
148,E72805203078910,10.0,1434246.22651,906645.15411
149,E72805203078911,15.0,1434213.32922,906497.63846
150,E72805203078916,15.0,1434109.88751,906040.19935
151,E72805203078918,37.5,1434023.59738,905663.28632
152,E72805203078806,15.0,1422707.36955,906029.38422
153,E72805203078805,37.5,1422767.08878,906319.23389
154,E72805200041369,25.0,1422853.29858,906700.28419
155,E72805203078803,15.0,1422897.71394,906983.38571
156,E72805203095110,10.0,1423511.847,907157.78355
157,E72805200041564,10.0,1423558.78289,907753.82109
158,E72805203078799,10.0,1427136.57466,908965.03605
159,E72805203095978,10.0,1427977.30341,908974.09385
160,E102E 20,3.0,1429009.3707,909016.46066
161,E72805203101831,10.0,1429961.58473,909052.97305
162,E72805200060234,5.0,1433580.12657,909137.87739
163,E72805203078797,10.0,1427729.90088,908968.66118
164,E72805200042120,10.0,1423729.40497,907421.13263
165,E72805203078808,10.0,1423162.59943,907396.19856
166,E72805203078818,10.0,1427215.30323,911539.23938
167,E72805200040201,10.0,1428265.30537,908335.66941
168,E72805200061078,10.0,1427025.53122,907004.57414
169,E72805203078800,10.0,1427595.87152,906925.60456
170,E72805203078802,10.0,1428041.82268,906813.17534
171,E72805203078828,10.0,1425465.89213,912992.40411
172,E72805203078831,10.0,1425452.06442,913219.72281
173,E72805200040601,15.0,1425335.27702,913562.06155
174,E72805200040315,15.0,1425152.30338,913970.8476
175,E72805203078835,10.0,1425256.98025,913749.77497
176,E72805203078821,10.0,1425870.53088,912431.66388
177,E72805203078820,10.0,1425330.53723,911294.18666
178,E72805203095472,10.0,1425570.76984,912007.02165
179,E72805200031065,10.0,1429174.28898,916383.83813
180,E72805203105118,10.0,1427748.02653,916116.22124
181,E72805200040189,10.0,1426681.45524,916356.01199
182,E72805203097720,10.0,1425674.7036,916359.23545
183,E72805203078859,10.0,1425974.15334,915832.66784
184,E72805200039919,10.0,1425764.79961,914841.79246
185,E72805203078841,10.0,1425794.57387,914262.34415
186,E72805203078823,15.0,1425385.38614,912543.62113
187,E72805203078849,10.0,1424596.57407,916341.48135
188,E72805203078850,15.0,1424587.46606,915873.10661
189,E72805200040154,15.0,1424585.58822,915625.51329
190,E72805203095369,10.0,1428451.633,916372.77194
191,E72805203078839,10.0,1425830.17244,913737.82509
192,E72805203078847,10.0,1424701.13043,915253.43041
193,E72805203078840,10.0,1424954.7489,914595.25354
194,E102E 52,25.0,1425740.09651,915268.22215
195,E72805203078858,10.0,1425689.52546,916064.47528
196,E72805203078816,25.0,1428374.88269,912232.61315
197,E72805203078817,10.0,1427553.87625,912102.58046
198,E72805203080289,100.0,1425806.77165,912213.617
199,E102E 11,15.0,1431462.95062,909095.04865
200,E72805203078810,10.0,1428272.37488,909945.42767
201,E72805203078812,15.0,1428037.4444,910492.73182
202,E72805203078898,10.0,1438292.96542,916572.05364
203,E72805203078896,10.0,1438544.6458,916538.69441
204,E72805203101336,10.0,1439030.41313,915294.60224
205,E72805203078891,10.0,1438607.5684,915094.07535
206,E72805203078890,10.0,1438409.96371,914519.99947
207,E72805203078895,10.0,1438229.02858,914274.36432
208,E72805203095431,10.0,1437673.12856,913355.88107
209,E72805200046216,10.0,1437336.07186,913211.60895
210,E72805203078886,10.0,1437335.59989,912542.93828
211,E72805203103784,25.0,1437131.79934,912113.90774
212,E72805203078882,10.0,1436775.08059,911348.82469
213,E72805203096553,10.0,1437031.41037,911866.81651
214,E72805203078744,10.0,1439109.37266,912402.6026
215,E72805203078893,15.0,1438551.42409,916085.88463
216,E72805203078870,10.0,1434589.27823,913499.25945
217,E72805203078872,15.0,1434541.4687,912946.4925
218,E72805203078873,10.0,1434460.79199,912305.79859
219,E72805203095735,10.0,1434467.68074,911498.30856
220,E72805203078875,10.0,1434501.30106,910962.34172
221,E72805203078876,10.0,1434503.76133,910687.12311
222,E72805203078877,10.0,1434523.54389,909916.75802
223,E72805203078880,10.0,1435555.76055,909814.29728
224,E72805203078881,10.0,1436093.35543,910569.42189
225,E72805203098777,225.0,1434286.50461,916469.19436
226,E72805203078862,10.0,1432662.96885,916457.42524
227,E72805203078863,25.0,1431773.55692,916437.45188
228,E72805203078866,10.0,1434299.59926,916354.23458
229,E72805203078867,37.5,1434629.28519,916012.33768
230,E72805203078868,10.0,1434779.20086,914522.58024
231,E72804503093394,10.0,1455477.05253,884865.11597
232,E72804503093380,25.0,1456132.257,884433.05278
233,E72804500041097,10.0,1455794.70826,884767.3379
234,E72804503093365,10.0,1456610.39248,885531.05525
235,E72804503093383,10.0,1456425.43055,884544.9799
236,E72804503093389,10.0,1455878.36741,884366.88663
237,E72809603093393,10.0,1455730.31953,884341.44043
238,E72804503098919,50.0,1457798.11377,887165.68292
239,E72804500043157,15.0,1457962.30464,887529.20444
240,E72804503093320,10.0,1457682.20565,887664.9811
241,E72809600040328,15.0,1457482.95409,887960.71534
242,E72809603093401,25.0,1457041.35107,887894.89062
243,E72804503093330,25.0,1456706.44335,887235.58905
244,E72804500039396,10.0,1455901.17258,885510.55971
245,E72804500042788,15.0,1456312.50928,885689.12494
246,E72809603093316,10.0,1456300.6956,888358.82307
247,E72809603093317,15.0,1456843.89701,888079.05924
248,E72804503093319,10.0,1457401.5142,887803.29836
249,E103H 49E1,10.0,1457654.69271,887232.63422
250,E72804503093325,10.0,1457147.68736,887475.24299
251,E72809600043462,15.0,1457497.44268,887309.6814
252,E72804503093323,50.0,1457654.39961,886877.89623
253,E72809600042787,15.0,1457352.91136,893404.36419
254,E72804503093104,10.0,1457233.30217,892522.19248
255,E72804503093102,25.0,1457116.15326,890353.41116
256,E72804503093100,10.0,1456880.47968,889753.35686
257,E72804503093099,10.0,1456805.798,889420.7186
258,E72804500058113,10.0,1456651.87561,889239.6931
259,E72809603093110,25.0,1459634.96542,902112.09557
260,E72804503093109,10.0,1459569.9541,901514.18019
261,E72809600039608,50.0,1459521.40147,899875.42089
262,E72809603093105,10.0,1458071.41626,896643.40345
263,E72804503093138,10.0,1461880.91882,904552.83188
264,E72804503093122,10.0,1460756.52621,903595.7877
265,E72809603093118,10.0,1460564.75586,902987.14756
266,E72809603093129,10.0,1461167.70224,902662.86418
267,E72804503093132,15.0,1461149.30546,902233.86376
268,E72804503093127,10.0,1460894.35142,902807.9999
269,E72804503093116,10.0,1460015.81488,902840.71644
270,E72804503093112,10.0,1459822.5985,902561.88274
271,E72804503093119,10.0,1460670.51726,903348.55589
272,E72804503093136,15.0,1461393.72554,904084.12576
273,E72804503097599,10.0,1462296.3727,904289.01084
274,E72804503093139,10.0,1461711.74277,904703.60111
275,E72809600043247,15.0,1463272.71744,902258.73757
276,E72804500062601,10.0,1462974.77775,902294.58719
277,E72804500060792,15.0,1463216.59132,902755.14305
278,E72809600042792,15.0,1464061.08767,902217.54566
279,E72809603093209,10.0,1464157.62054,901676.38716
280,E72809603093106,10.0,1459491.17532,901117.64527
281,E72809603093158,10.0,1462637.61687,905819.28613
282,E72804503093170,15.0,1464320.84174,905991.31534
283,E72804503093168,25.0,1464459.60085,905773.50632
284,E103J 18,15.0,1464435.39985,905498.05988
285,E103J 17,15.0,1464348.16013,905330.09074
286,E72804503095262,10.0,1463931.60729,904539.74728
287,E72804503093147,10.0,1463739.40514,904115.60714
288,E72804503095419,10.0,1462982.60416,904187.36412
289,E72809603093148,10.0,1463682.10851,903851.81811
290,E72804503095936,10.0,1464006.70069,903275.56125
291,E72804503093134,10.0,1464312.9488,903319.85611
292,E72804503093180,10.0,1463518.11158,908097.69624
293,E72804503093175,10.0,1463218.24008,907634.41274
294,E72804503093179,10.0,1462909.61203,907035.35259
295,E72804503093162,10.0,1462733.60748,906011.83096
296,E72804503093145,10.0,1462340.60731,905176.89639
297,E72804503093144,10.0,1462219.6023,904770.68107
298,E72804503093152,10.0,1462418.22751,905344.6308
299,E72804503093153,10.0,1462496.84436,905514.51794
300,E72804503093202,10.0,1465334.0202,909349.44034
301,E103J 45,15.0,1465406.1412,909139.48975
302,E72804503093194,25.0,1466413.18405,908099.49374
303,E72804503093189,15.0,1466268.05837,906319.12343
304,E72804503093171,10.0,1462906.24799,906545.46807
305,E72804503093173,10.0,1463079.47093,907378.88631
306,E72804503093195,25.0,1466261.28009,908567.50697
307,E72804503093196,15.0,1465904.50108,909023.96197
308,E72804503093199,10.0,1465554.5807,909106.2755
309,E72804503093183,15.0,1465091.7265,909177.61762
310,E72804503093193,10.0,1466408.04385,907788.82718
311,E72804503093225,50.0,1466468.02292,908119.64785
312,E72809603093231,75.0,1466688.61354,908173.66328
313,E103J 13X,15.0,1463835.17922,904326.95545
314,E72804503093163,10.0,1464162.26995,904850.68496
315,E72804503093169,10.0,1464711.85361,906254.83513
316,E72804503093190,10.0,1466311.098,907047.34263
317,E72804503093192,15.0,1466513.24038,907600.99013
318,E72804503096051,10.0,1467902.56994,899008.4928
319,E72804503093133,10.0,1464006.62035,902538.89681
320,E72809600040444,15.0,1463975.08876,902976.10146
321,E103J 10X,15.0,1463735.69026,903286.55086
322,E72804503093213,25.0,1459913.95979,901139.31571
323,E72804500042791,10.0,1461566.41626,901254.15499
324,E72804503092991,15.0,1457269.21204,902534.42816
325,E72804503092992,10.0,1457412.54022,902543.70688
326,E72804503092995,10.0,1457845.22601,902647.67077
327,E72805203079104,10.0,1451528.37601,902235.39578
328,E72805200040606,25.0,1451644.49752,902656.23652
329,E72805203079128,15.0,1451879.5987,902782.82483
330,E72805203080374,10.0,1452134.19186,903154.05038
331,E72805200040265,10.0,1451082.36146,901668.40384
332,E72805203080368,50.0,1451881.04474,901929.79474
