"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-01",,,,,,,,"23","24","21",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-02",,,,,,,,"27","35","18",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-03",,,,,,,,"34","38","31",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-04",,,,,,,,"26","35","14",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-05",,,,,,,,"20","30","10",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-06",,,,,,,,"22","30","19",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-07",,,,,,,,"25","30","21",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-08",,,,,,,,"26","33","21",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-09",,,,,,,,"29","36","24",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-10",,,,,,,,"40","47","36",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-11",,,,,,,,"31","35","26",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-12",,,,,,,,"26","33","23",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-13",,,,,,,,"37","41","34",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-14",,,,,,,,"30","33","25",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-15",,,,,,,,"21","27","15",,,,,,,,,,,,,,
